property_name,community,type,price,area,bedrooms,bathrooms,annual_rent,service_charges,status
Marina Heights Tower,Dubai Marina,Apartment,1850000,950,2,2,115000,18000,Ready
Burj Vista Residence,Downtown Dubai,Apartment,3200000,1450,3,3,180000,28000,Ready
Canal Front Residence,Business Bay,Apartment,1200000,750,1,1,82000,14000,Ready
JVC Circle Terrace,Jumeirah Village Circle (JVC),Apartment,680000,800,2,2,55000,9000,Ready
Signature Villa Palm,Palm Jumeirah,Villa,12500000,4500,5,6,580000,75000,Ready
Hills Park Townhouse,Dubai Hills Estate,Townhouse,2800000,2200,4,4,160000,22000,Ready
Ranches Garden Villa,Arabian Ranches,Villa,4200000,3200,5,5,220000,30000,Ready
Polo Villas Meydan,Meydan,Villa,3500000,2800,4,4,210000,25000,Ready
Creek Horizon Tower,Dubai Creek Harbour,Apartment,1600000,900,2,2,95000,16000,Off-Plan
Marina Gate Studio,Dubai Marina,Studio,720000,450,0,1,60000,9500,Ready
Vida Residence Downtown,Downtown Dubai,Apartment,2100000,1100,2,2,130000,22000,Ready
Bay Square Business Bay,Business Bay,Office,1800000,1200,0,2,140000,18000,Ready
JVC Community Tower,Jumeirah Village Circle (JVC),Apartment,480000,600,1,1,42000,7000,Ready
Shoreline Apartments,Palm Jumeirah,Apartment,2500000,1350,2,2,140000,20000,Ready
Hills View Apartment,Dubai Hills Estate,Apartment,1650000,1050,2,2,98000,16000,Ready
Creek Vista Glory,Dubai Creek Harbour,Apartment,1950000,1100,2,2,115000,19000,Off-Plan
Meydan Avenue Townhouse,Meydan,Townhouse,2200000,1800,3,3,140000,20000,Ready
Arabian Ranches 3 Villa,Arabian Ranches,Villa,3800000,2900,4,4,200000,27000,Off-Plan
Marina Pinnacle Studio,Dubai Marina,Studio,650000,410,0,1,55000,8500,Ready
Downtown Blvd Heights,Downtown Dubai,Apartment,4500000,1800,3,3,250000,38000,Ready
Business Bay Canal View,Business Bay,Apartment,950000,650,1,1,68000,12000,Ready
JVC Bloom Towers,Jumeirah Village Circle (JVC),Apartment,550000,700,1,1,48000,8000,Ready
Fairmont Palm Residences,Palm Jumeirah,Apartment,3200000,1600,2,2,175000,28000,Ready
Sidra Villas Hills,Dubai Hills Estate,Villa,5500000,3800,5,5,310000,45000,Ready
Creek Gate Tower,Dubai Creek Harbour,Apartment,2200000,1200,2,2,130000,21000,Off-Plan
Meydan One Studio,Meydan,Apartment,780000,500,0,1,52000,10000,Ready
Springs Townhouse,Arabian Ranches,Townhouse,2800000,2100,3,3,160000,22000,Ready
